epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2221.28,0.99764,0.97087,1.30154,0.88013,0.77982,0.87355,0.62309,1.07304,0.82022,1.36622,0.007921,0.007921,0.007921
44,2273.3,0.98813,0.95521,1.29098,0.86819,0.79134,0.88468,0.62558,1.06065,0.80168,1.35481,0.0078715,0.0078715,0.0078715
45,2326.73,0.97841,0.94002,1.28064,0.86901,0.8138,0.88413,0.63287,1.04166,0.78034,1.34503,0.007822,0.007822,0.007822
46,2380.6,0.98177,0.94552,1.27819,0.90627,0.79374,0.88308,0.63386,1.03813,0.78404,1.33885,0.0077725,0.0077725,0.0077725
47,2434.14,0.97584,0.9125,1.27614,0.88097,0.80548,0.88916,0.64088,1.03922,0.77733,1.34384,0.007723,0.007723,0.007723
48,2486.28,0.96898,0.91222,1.27776,0.87311,0.82793,0.8923,0.64638,1.03843,0.75535,1.33258,0.0076735,0.0076735,0.0076735
49,2540.06,0.97089,0.90268,1.27584,0.90452,0.79699,0.8925,0.64081,1.02189,0.75033,1.32408,0.007624,0.007624,0.007624
50,2592.58,0.97172,0.9182,1.27322,0.90168,0.77762,0.89238,0.64691,1.0297,0.75583,1.32513,0.0075745,0.0075745,0.0075745
51,2646.38,0.96295,0.91021,1.26735,0.89205,0.81962,0.90569,0.65327,1.03557,0.73678,1.34493,0.007525,0.007525,0.007525
52,2699.22,0.95498,0.88075,1.26283,0.90047,0.81491,0.89959,0.64489,1.04368,0.73928,1.33983,0.0074755,0.0074755,0.0074755
53,2752.59,0.96038,0.90288,1.26942,0.89289,0.82451,0.90538,0.64791,1.01994,0.73564,1.31579,0.007426,0.007426,0.007426
54,2805.4,0.9549,0.89113,1.26408,0.88754,0.82653,0.90046,0.65755,1.01311,0.73189,1.31808,0.0073765,0.0073765,0.0073765
55,2857.66,0.94056,0.86348,1.25684,0.91677,0.80424,0.9003,0.64693,1.04091,0.72375,1.33289,0.007327,0.007327,0.007327
56,2909.65,0.96816,0.90369,1.26451,0.89071,0.83712,0.90569,0.65594,1.02276,0.72244,1.31579,0.0072775,0.0072775,0.0072775
57,2962.62,0.92879,0.85268,1.24555,0.90161,0.81672,0.90623,0.65126,1.03387,0.72861,1.32741,0.007228,0.007228,0.007228
58,3017.12,0.94561,0.86438,1.24947,0.90103,0.7964,0.90216,0.65653,1.0187,0.71849,1.31974,0.0071785,0.0071785,0.0071785
59,3069.46,0.93127,0.85669,1.24663,0.91176,0.79844,0.89731,0.6561,1.02294,0.72694,1.3226,0.007129,0.007129,0.007129
60,3121.74,0.94288,0.85527,1.24925,0.8957,0.82509,0.90538,0.66112,1.01005,0.71255,1.3072,0.0070795,0.0070795,0.0070795
61,3173.76,0.92712,0.82978,1.24471,0.89793,0.83052,0.91542,0.66092,1.00597,0.70438,1.30832,0.00703,0.00703,0.00703
62,3225.97,0.91909,0.82853,1.23527,0.92313,0.80655,0.90184,0.66266,1.00652,0.70107,1.30024,0.0069805,0.0069805,0.0069805
63,3278.27,0.92035,0.83219,1.23404,0.90785,0.81521,0.90558,0.65941,1.01808,0.69198,1.30519,0.006931,0.006931,0.006931
64,3332.65,0.91636,0.82387,1.2299,0.88617,0.83456,0.90345,0.6612,1.00359,0.69833,1.30959,0.0068815,0.0068815,0.0068815
65,3384.69,0.90067,0.81452,1.2258,0.90694,0.83541,0.90968,0.66637,0.99429,0.69748,1.29207,0.006832,0.006832,0.006832
66,3438.27,0.9166,0.823,1.23066,0.90607,0.838,0.91311,0.66986,1.00636,0.67979,1.3089,0.0067825,0.0067825,0.0067825
67,3492.49,0.90417,0.81318,1.226,0.90418,0.83124,0.91036,0.66568,1.00743,0.68566,1.30047,0.006733,0.006733,0.006733
68,3545.71,0.9038,0.80073,1.23106,0.90999,0.83422,0.91479,0.67322,0.98822,0.67147,1.28692,0.0066835,0.0066835,0.0066835
69,3599.19,0.90864,0.80341,1.22234,0.90769,0.83077,0.91208,0.66975,0.99589,0.68233,1.28486,0.006634,0.006634,0.006634
70,3652.85,0.89786,0.8028,1.22014,0.91509,0.84141,0.91869,0.67636,0.99982,0.67397,1.28884,0.0065845,0.0065845,0.0065845
71,3704.96,0.90814,0.80625,1.2226,0.91941,0.82881,0.91503,0.67216,1.00589,0.67959,1.30434,0.006535,0.006535,0.006535
72,3757.12,0.88076,0.77583,1.20474,0.91053,0.82461,0.91588,0.6684,1.01456,0.67785,1.30499,0.0064855,0.0064855,0.0064855
73,3809.34,0.89331,0.78693,1.21975,0.90368,0.83258,0.91037,0.67412,0.99088,0.68019,1.28188,0.006436,0.006436,0.006436
74,3861.56,0.89103,0.78298,1.21925,0.91412,0.83784,0.91511,0.67587,0.98764,0.68091,1.28272,0.0063865,0.0063865,0.0063865
75,3913.64,0.88662,0.7836,1.20978,0.90938,0.84457,0.91612,0.67611,0.98758,0.66537,1.28891,0.006337,0.006337,0.006337
76,3966.16,0.88485,0.76764,1.20399,0.91706,0.81381,0.91515,0.68433,0.97706,0.67717,1.26679,0.0062875,0.0062875,0.0062875
77,4018.26,0.89423,0.77565,1.2097,0.92087,0.83209,0.91759,0.68152,0.97744,0.66161,1.28322,0.006238,0.006238,0.006238
78,4070.63,0.87433,0.76478,1.19842,0.91652,0.83653,0.9138,0.68009,0.9857,0.6658,1.28063,0.0061885,0.0061885,0.0061885
79,4122.8,0.88275,0.76984,1.2029,0.89904,0.84473,0.91838,0.68459,0.97626,0.64597,1.27834,0.006139,0.006139,0.006139
80,4176.04,0.87035,0.75585,1.19617,0.91163,0.84458,0.91885,0.68089,0.9835,0.64756,1.27882,0.0060895,0.0060895,0.0060895
81,4229.66,0.87819,0.7589,1.20648,0.89953,0.85647,0.91526,0.67481,0.99147,0.66528,1.29092,0.00604,0.00604,0.00604
82,4281.68,0.86808,0.74872,1.19179,0.9081,0.84618,0.91961,0.68313,0.97935,0.64645,1.27673,0.0059905,0.0059905,0.0059905
83,4333.93,0.87462,0.75362,1.20547,0.92105,0.8421,0.91915,0.68606,0.97229,0.63635,1.27071,0.005941,0.005941,0.005941
84,4386.06,0.87117,0.74372,1.19749,0.91625,0.84539,0.92135,0.68227,0.9945,0.63311,1.29318,0.0058915,0.0058915,0.0058915
85,4438.37,0.8695,0.74205,1.19746,0.91679,0.8401,0.91663,0.68461,0.98159,0.65129,1.28205,0.005842,0.005842,0.005842
86,4490.78,0.85873,0.73218,1.18894,0.91588,0.85065,0.92084,0.68592,0.99742,0.63821,1.29304,0.0057925,0.0057925,0.0057925
87,4544.79,0.84774,0.72796,1.18498,0.92024,0.83775,0.91929,0.68636,0.97669,0.63034,1.27242,0.005743,0.005743,0.005743
88,4596.84,0.83717,0.71837,1.17828,0.91574,0.84456,0.92461,0.69389,0.97136,0.62711,1.27012,0.0056935,0.0056935,0.0056935
89,4650.14,0.8583,0.72997,1.18526,0.91383,0.8377,0.92422,0.68927,0.97394,0.63127,1.27886,0.005644,0.005644,0.005644
